User_ID,ISBN,Book_Rating
1,195153448,3
1,2005018,5
1,60973129,4
1,374157065,5
1,393045218,4
1,399135782,2
1,425176428,3
1,671870432,4
1,679425608,3
1,074322678X,4
1,771074670,5
1,080652121X,4
1,887841740,4
1,1552041778,5
1,1558746218,4
1,1567407781,2
1,1575663937,3
1,1881320189,4
1,440234743,4
1,452264464,2
2,195153448,3
2,2005018,4
2,60973129,5
2,374157065,4
2,393045218,2
2,399135782,4
2,425176428,5
2,671870432,4
2,679425608,2
2,074322678X,4
2,771074670,2
2,080652121X,4
2,887841740,5
2,1552041778,4
2,1558746218,5
2,1567407781,4
2,1575663937,2
2,1881320189,4
2,440234743,5
2,452264464,4
3,195153448,2
3,2005018,3
3,60973129,4
3,374157065,4
3,393045218,5
3,399135782,4
3,425176428,2
3,671870432,3
3,679425608,4
3,074322678X,5
3,771074670,4
3,080652121X,2
3,887841740,3
3,1552041778,4
3,1558746218,5
3,1567407781,4
3,1575663937,2
3,1881320189,4
3,440234743,5
3,452264464,4
4,195153448,2
4,2005018,3
4,60973129,4
4,374157065,2
4,393045218,3
4,399135782,4
4,425176428,5
4,671870432,4
4,679425608,2
4,074322678X,3
4,771074670,4
4,080652121X,5
4,887841740,4
4,1552041778,2
4,1558746218,3
4,1567407781,4
4,1575663937,4
4,1881320189,5
4,440234743,4
4,452264464,2
5,195153448,3
5,2005018,4
5,60973129,4
5,374157065,5
5,393045218,4
5,399135782,2
5,425176428,3
5,671870432,4
5,679425608,4
5,074322678X,5
5,771074670,4
5,080652121X,2
5,887841740,3
5,1552041778,4
5,1558746218,4
5,1567407781,5
5,1575663937,4
5,1881320189,2
5,440234743,3
5,452264464,4
6,195153448,4
6,2005018,5
6,60973129,4
6,374157065,2
6,393045218,3
6,399135782,4
6,425176428,5
6,671870432,4
6,679425608,2
6,074322678X,3
6,771074670,4
6,080652121X,3
6,887841740,4
6,1552041778,2
6,1558746218,3
6,1567407781,4
6,1575663937,3
6,1881320189,4
6,440234743,5
6,452264464,4
7,195153448,2
7,2005018,4
7,60973129,5
7,374157065,4
7,393045218,2
7,399135782,4
7,425176428,2
7,671870432,4
7,679425608,5
7,074322678X,4
7,771074670,5
7,080652121X,4
7,887841740,2
7,1552041778,4
7,1558746218,5
7,1567407781,4
7,1575663937,2
7,1881320189,3
7,440234743,4
7,452264464,4
8,195153448,5
8,2005018,4
8,60973129,2
8,374157065,3
8,393045218,4
8,399135782,5
8,425176428,4
8,671870432,2
8,679425608,3
8,074322678X,4
8,771074670,5
8,080652121X,4
8,887841740,2
8,1552041778,4
8,1558746218,5
8,1567407781,4
8,1575663937,2
8,1881320189,3
8,440234743,4
8,452264464,2
9,195153448,3
9,2005018,4
9,60973129,5
9,374157065,4
9,393045218,3
9,399135782,4
9,425176428,5
9,671870432,4
9,679425608,2
9,074322678X,4
9,771074670,5
9,080652121X,4
9,887841740,2
9,1552041778,4
9,1558746218,2
9,1567407781,4
9,1575663937,5
9,1881320189,4
9,440234743,5
9,452264464,4
10,195153448,2
10,2005018,4
10,60973129,5
10,374157065,4
10,393045218,2
10,399135782,3
10,425176428,4
10,671870432,4
10,679425608,5
10,074322678X,4
10,771074670,2
10,080652121X,3
10,887841740,4
10,1552041778,5
10,1558746218,4
10,1567407781,2
10,1575663937,3
10,1881320189,4
10,440234743,5
10,452264464,4
11,195153448,2
11,2005018,4
11,60973129,5
11,374157065,4
11,393045218,2
11,399135782,3
11,425176428,4
11,671870432,2
11,679425608,3
11,074322678X,4
11,771074670,5
11,080652121X,4
11,887841740,2
11,1552041778,3
11,1558746218,4
11,1567407781,5
11,1575663937,4
11,1881320189,2
11,440234743,3
11,452264464,4
12,195153448,4
12,2005018,5
12,60973129,4
12,374157065,2
12,393045218,4
12,399135782,2
12,425176428,3
12,671870432,4
12,679425608,5
12,074322678X,4
12,771074670,2
12,080652121X,3
12,887841740,4
12,1552041778,4
12,1558746218,5
12,1567407781,4
12,1575663937,2
12,1881320189,3
12,440234743,4
12,452264464,5
13,195153448,4
13,2005018,2
13,60973129,3
13,374157065,4
13,393045218,4
13,399135782,4
13,425176428,2
13,671870432,3
13,679425608,4
13,074322678X,5
13,771074670,4
13,080652121X,2
13,887841740,3
13,1552041778,4
13,1558746218,4
13,1567407781,2
13,1575663937,3
13,1881320189,4
13,440234743,5
13,452264464,4
14,195153448,2
14,2005018,3
14,60973129,4
14,374157065,4
14,393045218,2
14,399135782,3
14,425176428,4
14,671870432,4
14,679425608,2
14,074322678X,3
14,771074670,4
14,080652121X,5
14,887841740,4
14,1552041778,2
14,1558746218,3
14,1567407781,4
14,1575663937,4
14,1881320189,2
14,440234743,3
14,452264464,2
15,195153448,3
15,2005018,4
15,60973129,4
15,374157065,2
15,393045218,3
15,399135782,4
15,425176428,3
15,671870432,4
15,679425608,4
15,074322678X,2
15,771074670,3
15,080652121X,4
15,887841740,5
15,1552041778,4
15,1558746218,4
15,1567407781,4
15,1575663937,2
15,1881320189,3
15,440234743,4
15,452264464,5
